xxxxxx
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
37,628
32,349
17,96
12,74
12,74
12,74
12,74
12,74
12,74
15,74
46,77
62,83
66,85
66,85
66,85
66,85
66,85
66,85
66,85
66,85
xxxxxx
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
37,628
32,349
17,96
12,74
12,74
12,74
12,74
12,74
12,74
15,74
46,77
62,83
66,85
66,85
66,85
66,85
66,85
66,85
66,85
66,85
20,748
20,748
20,748
20,748
20,748
226,632
647,467
874,438
887,438
887,438
887,438
887,438
887,438
887,438
951,344
1062,205
1106,171
1137,148
1175,122
1211,79
1235,60
1275,51
1294,51
1298,52
1298,55
1298,59
1291,69
1289,73
1289,73
1289,73
1289,73
1289,73
1289,73
1289,73
1289,73
xxxxxx
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
20,748
37,628
32,349
17,96
12,74
12,74
12,74
12,74
12,74
12,74
15,74
46,77
62,83
66,85
66,85
66,85
66,85
66,85
66,85
66,85
66,85
20,748
20,748
20,748
20,748
20,748
226,632
647,467
874,438
887,438
887,438
887,438
887,438
887,438
887,438
951,344
1062,205
1106,171
1137,148
1175,122
1211,79
1235,60
1275,51
1294,51
1298,52
1298,55
1298,59
1291,69
1289,73
1289,73
1289,73
1289,73
1289,73
1289,73
1289,73
1289,73
20,748
20,748
20,748
20,748
20,748
27,707
32,429
30,344
11,262
9,242
8,230
13,217
41,192
48,189
48,189
48,189
48,189
48,189
50,148
53,114
54,96
57,86
58,82
58,82
58,82
58,82
58,82
58,82
58,82
58,82
